MNXR101490,MNXR106519,MNXR144996,MNXR146662,MNXR152000,MNXR188900,MNXR189820,MNXR189826,MNXR96085,MNXR97512,MNXR97804
0.001998141,0.000258054,1,0.29467281,1,0.023750954,0.008965922,1,1,1,1
0.005538569,0.001927697,1,0.236472872,1,0.053972188,0.01615634,1,1,1,1
0.003244947,0.00139332,1,0.146758747,1,0.017329206,0.047539212,1,1,1,1
0.002959684,0.00090639,1,0.064480387,1,0.051563197,0.054056124,1,1,1,1
0.006377048,0.001381003,1,0.01859453,1,0.074494954,0.026237291,1,1,1,1
