RxnID,Ab_info_1,Ab_info_2,Ab_info_3,Ab_info_4,Ab_info_5,rxn_flux_1,rxn_flux_2,rxn_flux_3,rxn_flux_4,rxn_flux_5,expression_1,expression_2,expression_3,expression_4,expression_5
MNXR101490_c,20.33,35.92,38.06,0.64,2.07,1000,1000,1000,1000,1000,0,0,0,0,0
MNXR101490_c,0.09,0.13,0.27,0.17,0.04,0.0524259438134588,0.0408938773272725,0.0295533793966604,0.301096708397258,0,0.61949016077693,0.123837774296015,0,0.105514889713719,0
MNXR101490_c,0.03,0.08,0.14,24.24,6.23,0,0,0,0.0923311566657212,0.241423913984659,0,0,0,0.278404969202442,2.16764875610575
MNXR101490_c,0.02,0.07,0.43,0.74,0.06,0.00419795645054043,0.312536183575644,0.0294755637442452,14.0562151424613,0.207355427086246,0,0.130151072593459,0,12.5818575125886,0.108313884713696
MNXR101490_c,1.04,1.49,3.32,0.57,0.02,0.366598027941245,0.234256719345117,0.276476425500861,0.629704773346387,0,3.54789085848512,0.448009226664848,0.285925841722653,0.78380319083236,0
MNXR101490_c,9.49,16.98,27.91,1.65,0.28,0.0330315004774548,0.974802424851878,2.64697531454081,211.362476367113,0.496142494682257,12.9763203653957,4.90502170896845,44.2888152788399,68.6731812060569,0.65736756903015
MNXR101490_c,1.68,5.35,10.86,1.62,4.77,0.399011901691725,1.83618958931126,1.6768544513781,998.843616141108,2.21235575130956,0,0,0,0,0
MNXR101490_c,0.03,0.03,3.89,0.38,0.01,0.00912019859024316,0.0387374657564525,0.982391466332011,5.21807515776778,0.0779976876065504,0,0,1.01596765946056,19.6411468505239,0
MNXR101490_c,1.22,2.41,4.47,25.38,2.1,999.998838460943,999.992283717216,999.919983283052,999.64573552697,52.3549209888829,0,0,0,0,0
MNXR101490_c,35.32,19.95,5.69,6.22,0.2,3.8836198073189,5.48175232693823,7.31110706834165,4.60244622483527,0.306934937548152,0,0,0,0,0
MNXR101490_c,0.06,0.16,0.3,33.77,84.03,999.999521417411,0.0743201396059714,5.45201272011817,998.796391471523,48.8526134555385,0,0,0,0,0
MNXR101490_c,0.01,0.02,0.11,1.1,0.05,0,0,0,0,0.00540681533801523,0,0,0.0832601664890491,57.7169396136967,0.0463229192486249
MNXR101490_c,30.57,17.27,4.34,3.35,0.11,1000,1000,1000,1000,1000,0,0,0,0,0
MNXR101490_c,0.1,0.12,0.21,0.16,0.02,0.102822565052273,0.0570604070978431,0.00796922951488225,0.627326236561854,0,1.0365625044883,0.150174314530914,0,0.522481723876528,0
MNXR106519_c,20.33,35.92,38.06,0.64,2.07,1.7490458576777,2.81761695463806,6.29734839527673,4.2588181339996,0.153938274179725,27.1253134318526,14.0028290979318,109.352534006446,18.2128335708866,0.0908056129380578
MNXR106519_c,0.09,0.13,0.27,0.17,0.04,0.0461500507635804,0.0517839252153298,0,0,0,0.116200860713657,0.0862786573084887,0.0688303282760424,0,0
MNXR106519_c,0.03,0.08,0.14,24.24,6.23,0,0.000496089737592263,0.00121879711393418,0.729751739141954,0.152182063571177,0,0,0,0.237101562580519,0.408345569475045
MNXR106519_c,0.02,0.07,0.43,0.74,0.06,0,0.159954791220685,0,1.3026561964584,0.139221661968975,0,0.184380686174066,0,8.79759702679715,0.343716060824797
MNXR106519_c,1.04,1.49,3.32,0.57,0.02,0.335401636224769,0.268753747856108,0.0624576053483241,0.820002830136063,0,3.98570647373456,0.326801653831496,0.434519687256854,0.613617954549583,0
MNXR106519_c,9.49,16.98,27.91,1.65,0.28,0.812898692041061,1.26938969027369,3.44689661107238,8.51085378660026,0.27779604510222,14.9918850595394,9.46284348050374,45.9878240244845,73.4344875790506,1.00436511279973
MNXR106519_c,1.68,5.35,10.86,1.62,4.77,0,2.06767477808748,1.72612241881934,5.41873175196281,2.75187418579702,5.08385150284926,4.9782785266998,2.41491080693622,77.6557122173056,11.1208603039232
MNXR106519_c,0.03,0.03,3.89,0.38,0.01,0,0,1.67090852110774,4.7312651273119,0.0502344684403371,0,0,1.72801686246409,21.6047183622673,0.0977700552282924
MNXR106519_c,1.22,2.41,4.47,25.38,2.1,0.00466659591702134,0.0310009151444614,0.321474927975997,1.42329191068974,0,5.0951769461111,12.0802786356014,56.5888722238395,68.2896375428523,0.400705252256887
MNXR106519_c,35.32,19.95,5.69,6.22,0.2,3.48870684712187,3.6128895019478,4.31140050030932,4.41460770124013,0.145322090266176,43.7421037524661,11.9173821376808,24.3486448050512,15.0491253942211,0.138388512410819
MNXR106519_c,0.06,0.16,0.3,33.77,84.03,0.00201495732660372,0,0.0218738923625477,5.06750533009037,4.59142048865571,0.147358014575341,0,0,37.3777027525874,37.7817874080883
MNXR106519_c,0.01,0.02,0.11,1.1,0.05,0,0,0.0472617467569271,3.2487551557572,0,0,0,0.313953355061474,33.903783008408,0.0218340241912985
MNXR106519_c,30.57,17.27,4.34,3.35,0.11,3.64901852031157,3.79379790918456,3.97553011730668,3.84721884144192,0.0506617767376261,39.6236477911248,9.89133943077907,18.7302652264186,11.7413344598903,0.0482446124052272
MNXR106519_c,0.1,0.12,0.21,0.16,0.02,0.0408606450758122,0.0616968480422644,0,0.290113548540515,0,0.249712836617431,0.0927053729366815,0,0.55292160084619,0
MNXR144996_c,20.33,35.92,38.06,0.64,2.07,1.7490458576777,2.81761695463806,6.29734839527673,34.6429707963087,0.153938274179725,22.7436982692117,12.6571918097139,81.9740417996359,11.2557491372258,0.0433255538854786
MNXR144996_c,0.09,0.13,0.27,0.17,0.04,0.0682691701241764,0.0517839252153298,0,0,0,0.618172096605065,0,0,0,0
