M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14
11.9561521512948	2.81000000000065	2.81000000000001	2.81000000000035	15.4470935820083	2.80999999999996	7.72957575519149	2.81000000025174	2.81000000025174	2.81000000025174	2.80999999999984	5.67631079923074	2.80999999972664	2.80999999974194
31.2763336955861	2.80999999999945	2.80999999999942	2.81000000000051	2.80999999999985	2.80999999999996	7.86272665596074	14.0224755184067	31.4740574081049	2.81000000025174	2.81000000000003	6.24605385783887	2.80999999972664	2.80999999999996
2.81	2.81000000000006	2.80999999999843	2.80999999999998	2.81000000000046	2.80999999999996	6.99023801057891	2.81	2.81	31.2763336955861	2.81000000000007	7.54201854945465	2.81000000025174	2.80999999999996
2.81	2.80999999999998	2.8100000000002	2.80999999999999	2.8099999999998	3.75945640034915	8.09278061527329	3.16479797993796	31.276333695586	2.81000000008185	2.81	2.81000000025208	2.81000000076155	2.81000000000035
5.86811461811135	2.81000000000014	2.81000000000424	2.80999999999981	2.80999999999994	2.80999999999996	31.2763336955865	2.81	2.81000000025174	2.81000000025174	2.81000000000011	2.81000000025174	2.80999999972664	2.80999999972664
2.81	2.81000000000004	2.80999999999998	31.0052051848516	2.81000000000063	2.80999999999996	6.54995398014272	2.81000000025174	2.81000000025174	31.7341044390201	2.81000000000037	2.81000000025174	2.81000000076155	2.80999999999998
2.81	2.81000000000085	2.81000000000009	2.81000000000012	2.81000000000007	2.80999999999996	9.74995100128277	14.2083306328305	31.276333695586	32.7356959033759	2.81000000000024	7.49115152103859	2.81000000076155	2.80999999999998
2.81000000025174	2.80999999999953	2.81	2.80999999999913	15.4470935820083	2.80999999999996	6.47281942903449	2.81	2.81000000025174	31.5764035099923	2.81000000000096	2.81000000025174	33.2413483386275	2.81000000000008
32.3608578472976	2.80999999999931	31.3644402610609	2.81000000000012	15.4470935820083	2.80999999999996	6.13489928086249	11.6351335029273	31.5923965938144	2.81	2.81	6.74862189585608	2.80999999972664	2.81
10.4597934378221	2.81000000000012	2.80999999999981	2.80999999999997	2.8099999999999	2.80999999999996	7.55174584591894	11.5814654267794	2.81000000025174	32.1249531329805	2.8100000000011	2.81000000025174	31.2763336955862	2.80999999999996
2.81	2.80999999999986	2.81000000000009	31.0052051848516	2.80999999999996	2.80999999999996	7.62780353918578	2.81	2.81000000025174	32.0043162592536	2.81000000000016	2.81000000025174	2.81000000025174	2.80999999999955
2.81	2.81	2.81000000001233	2.81000000000046	2.8100000000005	3.75945640034915	9.94939936684061	2.81000000025174	31.5376907674699	2.81	2.8099999999997	4.90181738868409	2.80999999972664	2.80999999999998
