M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14
2.8100000000004	2.81	2.80999999999972	2.80999999999999	2.80999999999997	2.80999999972664	2.80999999999868	2.81000000000124	29.8595980796574	2.80999999999997	2.80999999999997	2.80999999999996	2.8099999999938	2.80999999999999
31.2977594027937	2.81	2.80999999999999	2.80999999999992	30.255544226367	2.80999999972664	2.81000000000051	2.81000000000043	2.81000000076329	2.80999999999997	2.80999999999997	2.80999999999996	2.80999999999228	2.81000000000009
31.2977594027937	2.81	2.80999999999972	2.80999999974194	2.80999999999997	2.80999999872126	2.809999999999	2.81000000000351	2.81000000076329	2.80999999999997	2.80999999999997	2.80999999999996	2.80999999999786	2.81000000000009
2.80999999999862	2.81	2.8099999999991	2.80999999999986	2.80999999999997	2.80999999972664	2.80999999999817	2.80999999999792	2.81000000076329	2.81000000076049	2.80999999999997	29.6008628533118	2.80999999999933	2.81000000000009
2.81000000000024	2.81	2.80999999972664	2.81000000012586	2.80999999999997	2.80999999972664	2.80999999999975	2.80999999999941	29.8595980796574	2.81000000025174	2.80999999999997	2.80999999999996	2.80999999999273	2.81000000000009
2.80999999999892	2.80999999999997	2.80999999999996	2.80999999999999	2.80999999999997	2.80999999972664	2.80999999999797	2.80999999999989	2.81000000076329	30.3790218480523	2.80999999999997	2.80999999999996	2.80999999999787	2.80999999999982
31.2977594027937	2.81000000000019	2.80999999999971	2.80999999999992	2.81	2.80999999972664	2.80999999996404	2.80999999999953	2.81000000076329	2.80999999999997	2.81000000076189	2.80999999999996	2.80999999999787	2.81000000000009
2.80999999999959	2.80999999974194	2.81000000000051	2.80999999999986	2.80999999999997	31.2763336955863	2.80999999999894	2.81000000000043	2.81000000076329	2.81000000025174	2.80999999974227	2.80999999999996	2.81000000000193	2.81000000000009
2.8099999999959	2.81	2.81000000000131	2.80999999970513	30.255544226367	2.80999999972664	2.809999999999	2.80999999999984	2.80999999999226	2.80999999999997	2.80999999999997	2.80999999999996	2.8099999999999	2.81000000000009
2.81000000000115	2.81	2.80999999999932	2.80999999980522	2.81	2.80999999972664	2.80999999999894	2.80999999999925	2.80999999999226	2.80999999999997	30.9510057881398	2.80999999999996	2.80999999999896	2.81000000000009
31.2977594027937	2.81	2.80999999999995	2.80999999999986	2.81	2.80999999972664	2.80999999999802	2.81000000000269	2.81000000076329	2.80999999999997	2.80999999974227	2.80999999999996	2.80999999999767	2.80999999999982
2.80999999999108	2.80999999999997	31.2763336955862	2.8099999999991	2.80999999999997	2.80999999972664	2.809999999999	2.81000000000216	2.81000000018963	2.80999999999997	2.80999999999997	2.80999999999996	2.80999999999515	2.81000000000009
31.2977594027937	2.80999999999997	2.80999999999999	2.80999999999999	2.81	2.80999999972664	2.80999999999718	2.80999999999981	2.81000000076329	2.80999999999997	2.80999999999997	2.80999999999996	2.8099999999999	2.81000000000009
2.80999999999871	2.81	2.8099999999991	2.80999999999999	30.255544226367	2.80999999972664	2.8099999999985	2.80999999999619	2.81000000076329	2.80999999999997	2.80999999999997	2.80999999999996	2.8099999999999	2.80999999999982
2.80999999999995	2.80999999974194	2.80999999999999	2.8099999999991	2.81	2.80999999972664	2.80999999999976	2.81000000000142	2.81000000076329	2.80999999999997	2.80999999999997	2.81	2.81000000000193	30.3539135801619
2.80999999999686	2.80999999999997	2.80999999999999	2.8099999999991	2.80999999972664	2.80999999972664	2.80999999999852	2.80999999999922	2.81000000076329	2.81000000020474	2.81000000076049	29.6008628533118	2.80999999999583	2.80999999999982
31.2977594027937	2.81	2.81000000000009	2.8099999999991	2.81	2.80999999972664	2.80999999999941	2.80999999999808	2.81000000076329	2.80999999999997	2.80999999999997	2.80999999999996	2.8099999999999	2.81000000000009
