Lambda,Solutions
L = 0.1,688.005060733729
L = 0.1,688.8629813494
L = 0.1,690.943814938316
L = 0.1,697.484509283838
L = 0.1,688.355133978816
L = 0.5,558.521899553121
L = 0.5,561.86103663979
L = 0.5,571.401277297079
L = 0.5,595.648919904151
L = 0.5,559.035955055586
L = 1,439.494932125716
L = 1,445.751819642845
L = 1,462.699680434522
L = 1,504.791812141419
L = 1,441.615706032814
L = 2,244.232139420368
L = 2,254.738628241863
L = 2,283.031726231123
L = 2,355.366770670531
L = 2,248.512740324437
L = 3,146.311581051848
L = 3,156.944986501444
L = 3,185.734626800398
L = 3,263.591097293533
L = 3,151.651098782306
L = 4,109.547362530667
L = 4,119.418250412035
L = 4,147.410545355704
L = 4,218.195185901465
L = 4,114.270650621688
L = 5,87.7506168536402
L = 5,97.243233106986
L = 5,124.686978662401
L = 5,192.123786819341
L = 5,91.3736506183172
L = 6,70.8487311594813
L = 6,80.7211234002633
L = 6,108.413242067525
L = 6,174.03807491319
L = 6,75.9571269938982
L = 7,56.0301616302747
L = 7,66.2660676797961
L = 7,94.1702689705858
L = 7,159.520120050568
L = 7,62.9267508830627
L = 8,43.0587520440202
L = 8,53.9029346781108
L = 8,81.699328388447
L = 8,146.602862034748
L = 8,50.6286229621849
L = 9,34.3863723875151
L = 9,44.3546415589998
L = 9,70.9198454825476
L = 9,134.750075743676
L = 9,40.0025889556449
L = 10,26.878839469512
L = 10,36.1669044473446
L = 10,60.9462940639237
L = 10,123.452724548853
L = 10,30.168480180006
L = 12,17.4358283778644
L = 12,24.5027695405253
L = 12,46.0234397779814
L = 12,101.599338378154
L = 12,16.4654442508031
L = 14,11.8721224176553
L = 14,17.633815040531
L = 14,36.3979639789846
L = 14,83.4910843863288
L = 14,10.2600865566302
L = 15,9.94719565167197
L = 15,14.9383375228604
L = 15,32.4834549741707
L = 15,75.7298852989238
L = 15,7.75363484009305
L = 16,9.28394710227693
L = 16,13.2849603241131
L = 16,29.6059584162692
L = 16,69.3306556689959
L = 16,6.34883463239976
L = 18,9.12189215496558
L = 18,12.999953846542
L = 18,28.8051066757994
L = 18,67.5402412307389
L = 18,6.33811690268196
L = 20,9.01637561790417
L = 20,12.8810945552967
L = 20,28.6558141142557
L = 20,67.4505079139509
L = 20,6.32888432957389
L = 22,8.91120578727299
L = 22,12.7628888786288
L = 22,28.506674460536
L = 22,67.3607926355982
L = 22,6.3197491779262
L = 24,8.84302990918923
L = 24,12.6661659197587
L = 24,28.368053118007
L = 24,67.2711313682448
L = 24,6.3107608321917
L = 25,8.82692299788289
L = 25,12.6364005691084
L = 25,28.335797008017
L = 25,67.2263723102376
L = 25,6.30631411547361
L = 50,8.75975658389445
L = 50,12.5039686723603
L = 50,28.2132782449508
L = 50,66.8569914004802
L = 50,6.20167154037486
L = 75,8.73461078626868
L = 75,12.5028157289839
L = 75,28.2123920190185
L = 75,66.7161546478249
L = 75,6.10204968960536
L = 100,8.7237965988499
L = 100,12.5016791486035
L = 100,28.2115059024892
L = 100,66.6053331588085
L = 100,6.00340994761461
