ModelID,Max_growth_rate,Min_growth_rate
KG_4,5.2550073639232e-07,0
KG_14,NA,NA
KG_7,0.0021484585757388,0.00132833039998932
KG_3,NA,0.00480632044537188
KG_10,NA,NA
KG_8,NA,0.00924705211473231
KG_12,NA,NA
KG_5,0.025520440554812,0.0169714103676607
KG_13,NA,0.167944561406275
KG_9,0.0678456081984297,0.0670542671776499
KG_1,NA,NA
KG_2,0.281906919342446,0.28101764015462
KG_6,0.0359994939899574,0.0325261100898695
KG_11,20.623743709508,20.617288776407
KG_4,3.97749071917315e-05,0
KG_14,4.18743636895987e-07,0
KG_7,0.0768174294258404,0.0764016688810577
KG_3,0.00288084900750478,0.00281278034174322
KG_10,1.02404248316416e-05,0
KG_8,0.0460536531608942,0.0452484254502868
KG_12,5.86732819068281,5.86687585923643
KG_5,0.0438012258606971,0.0423458547414001
KG_13,0.579285374355763,0.573041990823139
KG_9,0.263967941861295,0.263945129907572
KG_1,0.000755304853961905,0.000751718559614733
KG_2,0.201337041520411,0.199725970501154
KG_6,0.13366895932574,0.12920988596584
KG_11,20.5396072324614,20.5394792953805
KG_4,0.314173445780174,0.314034810565177
KG_14,1.6961474865664e-06,0
KG_7,3.03311567999653e-06,0
KG_3,5.26221562368073e-05,5.11399685990835e-05
KG_10,0.00266072695134318,0.00265962938014009
KG_8,0.288421352822943,0.288369489304996
KG_12,9.2613616522652,9.26115451584806
KG_5,2.07126756089353,2.07120608492989
KG_13,5.09165668880343,5.09158189324186
KG_9,1.41705173625016,1.41704690284182
KG_1,2.85743433115034e-07,0
KG_2,0.140780393939457,0.140596762346262
KG_6,0.0957669928604548,0.0957661438491814
KG_11,20.7921982666549,20.7921759114198
KG_4,35.3951111375394,35.3944133349012
KG_14,13.8536975831985,13.8521791070679
KG_7,7.71272317508736,7.71181773426616
KG_3,0.010804292280337,0.00821144280545692
KG_10,0.112729809869146,0.112724415637414
KG_8,3.70431581872294e-06,0
KG_12,15.9201491128127,15.9198113808507
KG_5,28.0826042686798,28.0813192176312
KG_13,3.3003729455248,3.29917375005885
KG_9,7.91128858247587,7.91105185291309
KG_1,0.00184570772796889,0.00184439172027938
KG_2,0.741252690162969,0.741230188715199
KG_6,7.65721183274968,7.65719694347312
KG_11,22.7785161550899,22.7783856408443
KG_4,0.00217969450586627,0.00195058829983347
KG_14,7.09082868798637,7.08407659078678
KG_7,NA,0.118404975545179
KG_3,1.80346365343773e-06,0
KG_10,NA,0.250461532938969
KG_8,6.62545123583569,6.6244673704689
KG_12,NA,0.19842233242194
KG_5,0.0429783609333828,0.0426202803817925
KG_13,0.00959905036683561,0.00938675511962329
KG_9,NA,0.0313772999103078
KG_1,2.99242329165218e-08,NA
KG_2,1.44618633435897e-06,0
KG_6,0.374547753797451,0.373130473453154
KG_11,NA,20.6372734108477
