ModelID,Max_growth_rate,Min_growth_rate
KG_4,4.99829475564655e-07,0
KG_14,7.71588311753196e-06,0
KG_7,9.38098280242661e-05,0
KG_3,0.000872275516518825,0.000535205706152053
KG_10,3.6275236230111e-07,0
KG_8,2.28264925349385e-05,0
KG_12,0.45697575227237,0.456676568511004
KG_5,0.000810916680757757,0.000769792739518743
KG_13,0.258728698338963,0.257093176156106
KG_9,0.0609900855764749,0.0609630158520403
KG_1,0.00200999716341911,NA
KG_2,0.0405285388187646,0.0403648044451088
KG_6,0.0276104149025236,0.0269158864323923
KG_11,20.1806195662325,20.1791357150624
KG_4,1.07885339660744e-07,0
KG_14,9.32825093188855e-09,0
KG_7,0.0147618012743221,0.0147603795012831
KG_3,0.00124333813147409,0.00124086350991793
KG_10,1.3934250424464e-08,0
KG_8,1.74775974167764e-07,0
KG_12,0.548443357439701,0.548362416729046
KG_5,1.17359293809102e-06,0
KG_13,0.488893174505587,0.488497958647495
KG_9,0.173706786937455,0.173705686221802
KG_1,0.000752116193052349,0.000749545555885623
KG_2,0.017361157748863,0.0173283724294878
KG_6,0.115813355465977,0.115803577767124
KG_11,20.145842323787,20.1454545914652
KG_4,NA,0.0234762429476215
KG_14,NA,0
KG_7,NA,NA
KG_3,5.23810896674474e-06,0
KG_10,NA,0
KG_8,-0,0
KG_12,1.91328057079717,1.91309000395221
KG_5,0.829288620027869,0.829236015944169
KG_13,2.67876288245947,2.6781637597472
KG_9,1.35432746192508,1.35431416068642
KG_1,5.90011923647689e-07,0
KG_2,0.00953550470471612,0.00938299740521306
KG_6,0.0380229162350702,NA
KG_11,20.2470638080289,20.2469216550831
KG_4,19.3237322411896,19.3237075867931
KG_14,6.09875448341734,6.09860957586151
KG_7,3.67588653724503,3.67584245483398
KG_3,0.00474105918936961,0.00474082640084211
KG_10,0.10504272302146,0.104954588357245
KG_8,2.78875627803128e-08,0
KG_12,5.02773647276863,5.02765060485595
KG_5,16.0919806513093,16.0919651051068
KG_13,3.52357969631089,3.52352933099516
KG_9,4.96388060282851,4.96387704884243
KG_1,4.84447742453856e-07,0
KG_2,0.0950998156327299,0.095095993000474
KG_6,4.05976869375792,4.0597023972659
KG_11,22.475873907984,22.4758236713975
KG_4,5.57749437008314e-06,0
KG_14,1.84642330144903,1.84640655826523
KG_7,0.0174228559751352,0.0173203933493128
KG_3,1.88062911640609e-07,0
KG_10,0.0852218287948239,0.0852199762599444
KG_8,0.668512133538559,0.668491187460454
KG_12,0.027508321239074,0.0274987919261733
KG_5,0.00227601100374726,0.00221463797673132
KG_13,0.00648988920346692,0.00608685480909916
KG_9,0.0199048239789314,0.0199032612006018
KG_1,1.50738131831826e-07,0
KG_2,5.78619272664785e-07,0
KG_6,0.0819775518800774,0.0819190939147975
KG_11,20.1787551744022,20.1787430534592
