ModelID,Max_growth_rate,Min_growth_rate
KG_8,NA,0.00318026829412041
KG_1,NA,NA
KG_2,NA,NA
KG_11,NA,NA
KG_14,NA,0
KG_7,NA,5.35699870454095e-06
KG_13,4.7554735943079,4.75521323403618
KG_10,NA,0
KG_12,NA,NA
KG_9,NA,0.106110834782822
KG_5,NA,NA
KG_3,NA,NA
KG_4,NA,8.00038486177737e-06
KG_6,NA,0
KG_8,NA,0.0114784332724848
KG_1,0.13757726026009,0.135798792984511
KG_2,0.0534398948849652,0.0523538264941706
KG_11,1.85378513977622,1.84172268215696
KG_14,1.82881157220797e-05,0
KG_7,0.0342699732431713,0.0336466255450771
KG_13,5.75366757984062,5.75100856057695
KG_10,2.75632889571682e-06,0
KG_12,0.371148579361519,0.370441032603076
KG_9,0.444225521893475,0.440745982001762
KG_5,2.41951694275015e-05,0
KG_3,0.0271053882932082,0.0267693598729643
KG_4,7.95173722961505e-05,4.33218287543874e-05
KG_6,0.014434311565087,0.0140102211544612
KG_8,0.0143462031541459,0.0142735472020624
KG_1,NA,0.159724706113339
KG_2,0.04515832951637,0.0451420490152628
KG_11,3.9832645375325,NA
KG_14,6.7742933547463e-06,1.65459966520797e-06
KG_7,6.32192826436842e-07,0
KG_13,15.8731380891637,15.8701813467989
KG_10,4.3446884057598e-06,0
KG_12,1.0495520981562,1.04916681862883
KG_9,NA,3.28937704444586
KG_5,NA,0.192093317972929
KG_3,0.00552960411313525,0.00548379934266035
KG_4,NA,0.439511045623419
KG_6,0.0545698650317708,0.0542722649997458
KG_8,0.0719328991136549,NA
KG_1,NA,1.15702468993582
KG_2,NA,NA
KG_11,10.3379741107778,10.3244555249426
KG_14,NA,0
KG_7,NA,NA
KG_13,NA,7.47434766071269
KG_10,0.00984171483514765,NA
KG_12,2.90853778999005,2.90258991825202
KG_9,16.1990717920866,16.1975955884713
KG_5,NA,NA
KG_3,0.117572569690855,NA
KG_4,NA,55.5082929797447
KG_6,NA,0
KG_8,6.32752466520601,6.31413456004216
KG_1,0.00012814368464482,4.09963168296318e-06
KG_2,NA,0
KG_11,0.603168742386845,0.600479375545941
KG_14,3.78197306596305,3.77814836953271
KG_7,NA,NA
KG_13,NA,NA
KG_10,NA,NA
KG_12,NA,NA
KG_9,NA,NA
KG_5,NA,NA
KG_3,NA,NA
KG_4,0.960158556445457,0.947021535847819
KG_6,NA,0.402970490953769
