ModelID,Max_growth_rate,Min_growth_rate
KG_8,0.0033540610005956,0.00317835774515491
KG_14,0.00613354622763554,0.0045926673240412
KG_7,6.32197938698957e-05,4.55167760984321e-05
KG_3,0.0211224249816694,0.0210389620725726
KG_12,0.0629344085300207,0.0603131063235375
KG_13,0.240669910039207,0.238515942150507
KG_5,-4.56447987175512e-09,0
KG_6,NA,0.167724458609477
KG_1,0.00537031097905453,0.0046214638436099
KG_2,0.150054028659081,0.14929979320274
KG_9,0.140156864886573,0.139272123102877
KG_10,3.21992264418935e-06,0
KG_4,1.75939854748544e-05,7.71215946612293e-06
KG_11,0.0481165010535741,0.0461758954902342
KG_8,0.0241525290740761,0.0204207625437461
KG_14,NA,0
KG_7,0.0110456612666167,0.0110284046279084
KG_3,NA,0.0129625653603637
KG_12,0.0603746963880109,0.060087488280865
KG_13,NA,0.531937695408823
KG_5,1.34787124681784e-06,0
KG_6,0.719736025732254,0.716273600052325
KG_1,NA,0.00410949042335376
KG_2,0.0326766094860551,0.0312322255698477
KG_9,0.884376185545969,NA
KG_10,7.90772839105965e-06,0
KG_4,0.000670832530253687,0.000159982061340021
KG_11,0.0323608971100182,0.0317463224310036
KG_8,0.336712333114702,0.285089657334844
KG_14,2.70767889873907e-05,0
KG_7,0.000779252177374088,0.000761651644988379
KG_3,0.000776270365546061,0.00060439889612624
KG_12,NA,NA
KG_13,5.70836577156943,5.70792263332025
KG_5,NA,0.029125841157322
KG_6,NA,0.549051575435593
KG_1,NA,0
KG_2,NA,0.00431424390133775
KG_9,NA,3.04929873566238
KG_10,NA,0
KG_4,NA,NA
KG_11,0.306137841338682,0.303566051558221
KG_8,3.52521442304591,3.52521442303139
KG_14,29.2804954117239,29.2804954116797
KG_7,2.59431985405506,2.59431985408222
KG_3,0.056905159435177,0.0569051594481844
KG_12,1.14231687612827,1.14231687613502
KG_13,5.12523737851726,5.1252373787253
KG_5,3.35380220621401,3.35380220633432
KG_6,27.5292870818663,27.5292870819837
KG_1,-6.91535564144002e-12,0
KG_2,0.108038289312391,0.108038289307835
KG_9,13.0902113310708,13.0902113314479
KG_10,0.0828050190893942,0.0828050192174226
KG_4,7.5369468480789,7.53694684807968
KG_11,0.899918537764718,0.89991853777429
KG_8,9.85219515751214,9.85055321925527
KG_14,8.05760598503828,8.0560141567612
KG_7,NA,0.0256691603892121
KG_3,0.000916541572375299,0.000865690140074385
KG_12,0.00432593211765178,0.00362596895588956
KG_13,0.0355013439501012,0.0354684412015399
KG_5,0.00078885893604579,0.000448571915996054
KG_6,1.01355732244388,1.01238416285751
KG_1,1.80650487851184e-06,0
KG_2,-5.96679013599642e-08,0
KG_9,0.0415510272693583,0.0412450197356767
KG_10,NA,0.158206869888258
KG_4,0.115434866312475,0.115348326809117
KG_11,2.00261281249758e-05,0
