ModelID,Max_growth_rate,Min_growth_rate
KG_8,0.00319743679777936,0.00292718198954498
KG_1,3.43690312920307e-06,0
KG_2,NA,NA
KG_11,NA,0.496584227814813
KG_14,4.75507052671438e-07,NA
KG_7,2.23274188836587e-07,NA
KG_13,4.3546585804015,4.35445124860257
KG_10,-2.23658500102274e-08,0
KG_12,NA,NA
KG_9,0.0253644462869848,NA
KG_5,-2.17710343858515e-08,NA
KG_3,0.0263136458387264,0.0258181328500867
KG_4,4.28109002641446e-07,0
KG_6,NA,NA
KG_8,0.0115028688362249,0.0114668477192424
KG_1,0.000423924876069532,0.000298379519450675
KG_2,0.0436893155087968,0.042775251841861
KG_11,0.674934422458899,0.674829321691676
KG_14,3.79853141608883e-06,0
KG_7,0.0187471982860612,0.018668113964221
KG_13,5.26449376239441,5.26399672202434
KG_10,5.72055623252108e-07,0
KG_12,0.31650275933197,0.313457990498068
KG_9,0.0863888911899541,0.0842665732539216
KG_5,3.23455041847485e-06,0
KG_3,0.014410983738989,0.0142109933475084
KG_4,4.18815432966942e-07,0
KG_6,0.0144845441452487,0.0143973150346519
KG_8,NA,0.0108495539367603
KG_1,3.01585311644766e-07,0
KG_2,0.0400039431689117,0.0395863828005454
KG_11,3.01533757649839,3.01365127663131
KG_14,7.46448226195936e-07,0
KG_7,2.55818018556363e-07,0
KG_13,12.9152697112783,12.914203638026
KG_10,1.21759711946765e-06,0
KG_12,1.22041040942471,1.21970423649682
KG_9,NA,NA
KG_5,0.0636260331354972,0.0635364094719428
KG_3,0.00105376206266157,0.000981433592597466
KG_4,0.196577285529863,0.196550576823366
KG_6,NA,0.0535616066112045
KG_8,0.0715916319309083,0.0715880615713003
KG_1,0.000833096168405136,0.000827707929160316
KG_2,0.166477610607717,0.166456030424201
KG_11,7.58798028214558,7.58640302557107
KG_14,6.94445027951214e-07,0
KG_7,2.02491888795809,2.02491399091111
KG_13,7.41580662862999,7.41548918893274
KG_10,0.0119317861079253,0.0119223754542284
KG_12,2.91704195582414,2.91670104297514
KG_9,2.43357344697879,2.43355450866192
KG_5,3.48048083251732,3.4804645165946
KG_3,0.0480035614381674,0.0479472342008211
KG_4,39.4651438731192,39.4645421417855
KG_6,9.82246226497226e-08,0
KG_8,1.48449645245849,1.47764469262938
KG_1,-2.42631882218939e-08,NA
KG_2,1.6960462011551e-07,NA
KG_11,NA,0.200113280919341
KG_14,2.93453871229468,2.92785851048228
KG_7,NA,0.00896800340131664
KG_13,3.7342955287161,NA
KG_10,0.0143382342112603,NA
KG_12,1.7941780949245e-06,0
KG_9,0.0023502657513869,NA
KG_5,NA,0.000930047721033786
KG_3,2.35379347185253e-07,NA
KG_4,0.137610279582849,NA
KG_6,NA,0.0296393880122127
