id	ec_numbers
MNXR100421	
MNXR100424	
MNXR100425	
MNXR100426	
MNXR100427	
MNXR100428	
MNXR100430	
MNXR100435	
MNXR100436	
MNXR100439	
MNXR100440	
MNXR100443	
MNXR100444	
MNXR100446	1.11.1.9
MNXR100447	3.6.3.M9
MNXR100448	7.4.2.10;7.4.2.i
MNXR100449	
MNXR100450	6.3.2.3
MNXR100452	
MNXR100467	3.5.3.7
MNXR100471	1.1.1.45
MNXR100473	1.1.1.380
MNXR100474	
MNXR100475	
MNXR100477	
MNXR100478	
MNXR100479	
MNXR100481	1.12.1.3;1.12.1.5
MNXR100482	4.2.1.1
MNXR100484	
MNXR100485	
MNXR100486	
MNXR100487	
MNXR100489	
MNXR100492	1.14.13.225;1.6.3.1
MNXR100493	
MNXR100494	
MNXR100495	
MNXR100496	
MNXR100497	
MNXR100498	
MNXR100501	
MNXR100502	
MNXR100503	
MNXR100504	
MNXR100507	
MNXR100509	
MNXR100510	
MNXR100515	
MNXR100518	
MNXR100519	
MNXR100520	
MNXR100523	
MNXR100524	
MNXR100525	
MNXR100526	
MNXR100527	
MNXR100528	
MNXR100529	
MNXR100532	
MNXR100533	
MNXR100534	
MNXR100535	
MNXR100536	
MNXR100539	
MNXR100540	
MNXR100552	4.2.1.114;4.2.1.36
MNXR100553	1.1.1.291;1.1.1.31;1.1.1.35
MNXR100554	
MNXR100555	1.1.1.157;1.1.1.35
MNXR100558	
MNXR100559	
MNXR100560	
MNXR100561	
MNXR100562	
MNXR100563	
MNXR100564	3.2.1.35
MNXR100566	2.5.1.-;2.5.1.39
MNXR100567	2.5.1.39
MNXR100568	
MNXR100570	
MNXR100571	
MNXR100573	
MNXR100574	
MNXR100575	
MNXR100576	
MNXR100579	
MNXR100580	
MNXR100581	4.1.1.22;4.1.1.28
MNXR100583	
MNXR100587	1.1.1.23
MNXR100589	
MNXR100592	
MNXR100593	
MNXR100597	3.6.3.41;7.6.2
MNXR100601	
MNXR100602	2.4;2.4.-.-
MNXR100603	
MNXR100605	
MNXR100606	
MNXR100608	
MNXR100609	
MNXR100610	
MNXR100611	2.7.1.50
MNXR100615	
MNXR100616	
MNXR100617	
MNXR100618	
MNXR100619	
MNXR100620	
MNXR100622	
MNXR100623	
MNXR100624	
MNXR100625	
MNXR100627	
MNXR100628	1.13.11.5
MNXR100630	
MNXR100637	1.1.1.155;1.1.1.286;1.1.1.87
MNXR100640	
MNXR100641	
MNXR100642	3.1.3.15
MNXR100644	3.6.3.21;7.4.2.1
MNXR100646	
MNXR100647	
MNXR100648	
MNXR100649	
MNXR100650	
MNXR100651	
MNXR100652	3.5.2.17
MNXR100653	3.1.3.77;3.1.3.87
MNXR100656	3.7.1.3
MNXR100657	3.6.3.10;3.6.3.12;7.2.2.6;7.2.2.d;7.2.2.t
MNXR100658	2.5.1.61;4.3.1.8
MNXR100668	
MNXR100670	1.2.1.32;1.2.1.85
MNXR100673	3.7.1.-;3.7.1.25
MNXR100676	
MNXR100677	
MNXR100678	
MNXR100679	4.1.2;4.1.2.52;4.1.2.n4;4.1.3.17;4.1.3.39
MNXR100681	1.14.14.18;1.14.99.3
MNXR100682	1.1.1;1.1.1.60
MNXR100686	
MNXR100687	
MNXR100688	
MNXR100689	
MNXR100690	
MNXR100692	5.3.1.22
MNXR100696	
MNXR100697	
MNXR100698	1.5.1.12;1.5.1.2
MNXR100699	1.5.1.12;1.5.1.2
MNXR100700	4.1.1.40
MNXR100701	1.1.1.291
MNXR100702	
MNXR100703	
MNXR100704	
MNXR100705	
MNXR100706	
MNXR100707	
MNXR100708	
MNXR100709	
MNXR100710	
MNXR100711	
MNXR100712	
MNXR100718	
MNXR100719	
MNXR100720	
MNXR100721	
MNXR100723	
MNXR100727	1.1.1.145;5.3.3.1
MNXR100728	1.1.1.145;5.3.3.1
MNXR100729	
MNXR100730	
MNXR100731	1.1.1.181
MNXR100732	1.1.1.181
MNXR100733	4.4.1.1
MNXR100734	1.1.1.3
MNXR100735	1.1.1.3
MNXR100737	2.7.1.39
MNXR100738	
MNXR100739	
MNXR100740	2.5.1.44
MNXR100742	
MNXR100744	
MNXR100745	
MNXR100750	
MNXR100753	1.18.99.1
MNXR100754	1.18.99.1
MNXR100755	1.18.99.1
MNXR100756	
